DEFECT_ID,DATE,SHIFT,LINE_ID,MACHINE_ID,PRODUCT_TYPE,DEFECT_TYPE,SEVERITY,UNITS_AFFECTED,INSPECTOR_ID,DISPOSITION,REWORK_HOURS,COST_USD,NOTES
DEF00001,2025-01-01,Night,Line 1,M004,AI_Server_v1,Wrong_Orientation,Major,16,QC02,Rework,4.49,659.13,
DEF00002,2025-01-01,Day,Test Bay,M004,HPC_Rack_Unit,Firmware_Error,Critical,6,QC02,On Hold,1.57,595.92,Supplier issue
DEF00003,2025-01-01,Night,Test Bay,M002,PCB_Assembly,Wrong_Orientation,Minor,4,QC05,Rework,2.38,314.8,
DEF00004,2025-01-01,Night,Test Bay,M004,HPC_Rack_Unit,Solder_Bridge,Minor,15,QC01,Scrap,4.75,36.93,
DEF00005,2025-01-02,Night,Line 1,M005,PCB_Assembly,Missing_Component,Major,15,QC03,Scrap,3.02,686.11,Supplier issue
DEF00006,2025-01-02,Night,Test Bay,M002,GPU_Module,Solder_Bridge,Major,5,QC03,On Hold,2.88,574.99,
DEF00007,2025-01-02,Night,Test Bay,M003,AI_Server_v1,Cosmetic,Minor,16,QC04,Rework,1.65,569.72,Supplier issue
DEF00008,2025-01-02,Night,Line 2,M007,PCB_Assembly,Thermal_Failure,Critical,12,QC05,Scrap,0.77,33.32,
DEF00009,2025-01-02,Day,Line 1,M002,AI_Server_v1,Physical_Damage,Minor,16,QC03,Rework,6.52,588.79,
DEF00010,2025-01-04,Night,Test Bay,M006,AI_Server_v1,Solder_Bridge,Critical,9,QC01,Scrap,0.81,613.05,Supplier issue
DEF00011,2025-01-05,Day,Line 2,M007,PCB_Assembly,Solder_Bridge,Minor,15,QC04,Rework,4.7,167.79,Repeat defect
DEF00012,2025-01-05,Night,Line 3,M004,HPC_Rack_Unit,Missing_Component,Minor,6,QC04,Scrap,1.74,469.87,
DEF00013,2025-01-05,Day,Line 2,M006,AI_Server_v1,Cosmetic,Major,1,QC03,Rework,6.95,279.16,
DEF00014,2025-01-05,Night,Line 2,M006,HPC_Rack_Unit,Thermal_Failure,Major,17,QC03,Accept,4.58,118.92,
DEF00015,2025-01-05,Night,Test Bay,M004,AI_Server_v1,Thermal_Failure,Critical,5,QC05,Accept,,403.98,
DEF00016,2025-01-06,Night,Line 1,M005,HPC_Rack_Unit,Cosmetic,Minor,9,QC04,On Hold,7.01,134.71,Repeat defect
DEF00017,2025-01-06,Day,Line 3,M001,Server_Blade,Thermal_Failure,Critical,18,QC01,Scrap,7.36,217.81,
DEF00018,2025-01-06,Night,Test Bay,M001,PCB_Assembly,Missing_Component,Minor,2,QC02,Rework,5.94,740.1,
DEF00019,2025-01-06,Day,Test Bay,M001,AI_Server_v1,Cosmetic,Critical,20,QC01,Accept,7.61,482.54,Supplier issue
DEF00020,2025-01-08,Day,Line 3,M004,AI_Server_v1,Solder_Bridge,Critical,16,QC05,Rework,3.59,249.7,
DEF00021,2025-01-08,Day,Line 1,M001,HPC_Rack_Unit,Thermal_Failure,Critical,13,QC01,Scrap,3.25,308.01,
DEF00022,2025-01-08,Night,Line 2,M004,AI_Server_v1,Physical_Damage,Critical,20,QC03,Accept,,354.85,
DEF00023,2025-01-08,Day,Line 1,M002,GPU_Module,Solder_Bridge,Major,14,QC05,Scrap,,643.4,
DEF00024,2025-01-09,Day,Line 1,M007,AI_Server_v1,Missing_Component,Major,6,QC03,Scrap,4.92,713.44,Repeat defect
DEF00025,2025-01-10,Night,Test Bay,M005,AI_Server_v1,Firmware_Error,Critical,3,QC03,Scrap,,567.15,Repeat defect
